Categories,Charge,Usage
2010-4,2076,86
2010-5,2614,112
2010-6,2477,103
2010-7,3141,140
2010-8,2730,119
2010-9,3147,138
2010-10,2649,114
2010-11,2523,108
2010-12,2220,90
2011-1,2175,88
2011-2,2220,90
2011-3,1917,72
2011-4,2257,92
2011-5,2512,106
2011-6,2676,127
2011-7,3486,150
2011-8,2566,103
2011-9,3129,130
2011-10,3026,124
2011-11,3344,137
2011-12,2624,102
2012-1,2615,102
2012-2,2758,110
2012-3,3042,124
2012-4,2668,104
2012-5,3958,163
2012-6,4532,186
2012-7,4875,198
2012-8,3902,154
2012-9,3394,131
2012-10,5235,202
2012-11,5280,205
2012-12,4306,168
2013-1,3903,154
2013-2,5369,214
2013-3,3572,142
2013-4,4171,163
2013-5,4822,183
2013-6,4282,159
2013-7,4755,174
2013-8,6438,234
2013-9,4778,173
2013-10,4805,174
2013-11,4716,172
2013-12,3435,126
2014-1,4415,163
2014-2,7304,269
2014-3,3574,130
